Species,Common names,Images,Wikipedia,Wikimedia Commons,iNaturalist
Clethra alnifolia,"Coastal Sweetpepperbush, Sweet pepperbush",https://inaturalist.org/taxa/52867/browse_photos,,https://commons.wikimedia.org/wiki/Clethra alnifolia,https://inaturalist.org/taxa/52867
Ulmus parvifolia,Chinese Elm,https://inaturalist.org/taxa/79462/browse_photos,https://en.wikipedia.org//wiki/Ulmus_parvifolia,https://commons.wikimedia.org/wiki/Ulmus parvifolia,https://inaturalist.org/taxa/79462
Fraxinus pennsylvanica,"Water Ash, Swamp Ash, Downy Ash, Red Ash, Green Ash",https://inaturalist.org/taxa/54808/browse_photos,https://en.wikipedia.org//wiki/Fraxinus_pennsylvanica,https://commons.wikimedia.org/wiki/Fraxinus pennsylvanica,https://inaturalist.org/taxa/54808
Magnolia soulangeana,"Saucer Magnolia, Saucer magnolia",https://inaturalist.org/taxa/204586/browse_photos,,https://commons.wikimedia.org/wiki/Magnolia × soulangeana,https://inaturalist.org/taxa/204586
Sassafras albidum,"Mitten Tree, Sassafras, Sassafras Officinale",https://inaturalist.org/taxa/54795/browse_photos,https://en.wikipedia.org//wiki/Sassafras_albidum,https://commons.wikimedia.org/wiki/Sassafras albidum,https://inaturalist.org/taxa/54795
Celtis occidentalis,"Common Hackberry, Hackberry",https://inaturalist.org/taxa/54857/browse_photos,https://en.wikipedia.org//wiki/Celtis_occidentalis,https://commons.wikimedia.org/wiki/Celtis occidentalis,https://inaturalist.org/taxa/54857
Magnolia × soulangeana,"Saucer Magnolia, Saucer magnolia",https://inaturalist.org/taxa/204586/browse_photos,https://en.wikipedia.org//wiki/Magnolia_%C3%97_soulangeana,https://commons.wikimedia.org/wiki/Magnolia × soulangeana,https://inaturalist.org/taxa/204586
Acer negundo,"Manitoba Maple, Boxelder, Ash-Leaved Maple, Box-Elder, Box elder",https://inaturalist.org/taxa/239061/browse_photos,https://en.wikipedia.org//wiki/Acer_negundo,https://commons.wikimedia.org/wiki/Acer negundo,https://inaturalist.org/taxa/239061
Quercus robur,"English Oak, French Oak, Common Oak, European Oak, Pedunculate Oak",https://inaturalist.org/taxa/56133/browse_photos,https://en.wikipedia.org//wiki/Quercus_robur,https://commons.wikimedia.org/wiki/Quercus robur,https://inaturalist.org/taxa/56133
Quercus velutina,"Eastern Black Oak, Black Oak",https://inaturalist.org/taxa/49006/browse_photos,https://en.wikipedia.org//wiki/Quercus_velutina,https://commons.wikimedia.org/wiki/Quercus velutina,https://inaturalist.org/taxa/49006
Prunus avium,"Sweet Cherry, Wild Cherry, Gean, Wild Cherry, European cherry",https://inaturalist.org/taxa/61964/browse_photos,https://en.wikipedia.org//wiki/Prunus_avium,https://commons.wikimedia.org/wiki/Prunus avium,https://inaturalist.org/taxa/61964
Buxus sempervirens,"Boxwood, European Box, Common Box",https://inaturalist.org/taxa/133397/browse_photos,https://en.wikipedia.org//wiki/Buxus_sempervirens,https://commons.wikimedia.org/wiki/Buxus sempervirens,https://inaturalist.org/taxa/133397
Nyssa sylvatica,"Blackgum, Sour Gum, Tupelo",https://inaturalist.org/taxa/54802/browse_photos,https://en.wikipedia.org//wiki/Nyssa_sylvatica,,https://inaturalist.org/taxa/54802
Halesia carolina,"Carolina Silverbell, Two-trunked silverbell",https://inaturalist.org/taxa/157424/browse_photos,https://en.wikipedia.org//wiki/Halesia_carolina,https://commons.wikimedia.org/wiki/Halesia carolina,https://inaturalist.org/taxa/157424
Carpinus caroliniana,"Blue Beech, Hornbeam, American Hornbeam, Musclewood",https://inaturalist.org/taxa/54768/browse_photos,https://en.wikipedia.org//wiki/Carpinus_caroliniana,https://commons.wikimedia.org/wiki/Carpinus caroliniana,https://inaturalist.org/taxa/54768
Dacrydium cupressinum,"New Zealand Red Pine, Red Pine, Rimu",https://inaturalist.org/taxa/52382/browse_photos,https://en.wikipedia.org//wiki/Dacrydium_cupressinum,https://commons.wikimedia.org/wiki/Dacrydium cupressinum,https://inaturalist.org/taxa/52382
Fraxinus americana,"White Ash, American Ash",https://inaturalist.org/taxa/54805/browse_photos,https://en.wikipedia.org//wiki/Fraxinus_americana,https://commons.wikimedia.org/wiki/Fraxinus americana,https://inaturalist.org/taxa/54805
Aesculus carnea,"Red Horse-Chestnut, Pink-flowering horsechestnut",https://inaturalist.org/taxa/478638/browse_photos,,https://commons.wikimedia.org/wiki/Aesculus × carnea,https://inaturalist.org/taxa/478638
